profileID,respID,qID,altID,obsID,price,brand,keyless,electric,warranty,blockID,label,chosen
14,0,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,0,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,0,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,0,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,0,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,0,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,0,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,0,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,0,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,0,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,0,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,0,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,0,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,0,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,0,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,0,6,1,6,below 10k,japan,Yes,No,No,1,P Car,1
35,0,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,0,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,1,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,1,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,1,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,1,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,1,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,1,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,1,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,1,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,1,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,1,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,0
8,1,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
